pilar_competitividad,indicador,ano,valor,unidad,ranking_nacional_2025,fuente
Organismos de Control,Homicidios,2025,56,Unidad,,SIEDCO / Dirección de Seguridad y Convivencia Ciudadana
Organismos de Control,Homicidios en Siniestros Víales,2025,57,Unidad,,SIEDCO / Dirección de Seguridad y Convivencia Ciudadana
Organismos de Control,Hurto a Personas,2025,971,Unidad,,SIEDCO / Dirección de Seguridad y Convivencia Ciudadana
Organismos de Control,Lesiones Personales,2025,579,Unidad,,SIEDCO / Dirección de Seguridad y Convivencia Ciudadana
Organismos de Control,Violencia Intrafamiliar,2025,618,Unidad,,SIEDCO / Dirección de Seguridad y Convivencia Ciudadana
Gobierno Territorial,Inundaciones,2025,492,Familias,,Dirección Departamental de Gestión de Riesgos de Desastres
Gobierno Territorial,Deslizamiento,2025,300,Familias,,Dirección Departamental de Gestión de Riesgos de Desastres
Gobierno Territorial,Represamiento,2025,200,Familias,,Dirección Departamental de Gestión de Riesgos de Desastres
Gobierno Territorial,Riesgo Eléctrico,2025,45,Familias,,Dirección Departamental de Gestión de Riesgos de Desastres
Gobierno Territorial,Organismos de Acción Comunal de primer y segundo grado beneficiados con procesos de Asistencia Técnica,2024,581,Unidad,,Dirección de Desarrollo Comunitario
Gobierno Territorial,Afiliados y dignatarios atendidos,2024,2535,Unidad,,Dirección de Desarrollo Comunitario
Gobierno Territorial,Asociaciones NARP Beneficiadas,2024,23,Unidad,,Dirección de Desarrollo Comunitario
Gobierno Territorial,Cabildos Indígenas con Asistencia Tecnica,2024,10,Unidad,,Dirección de Desarrollo Comunitario
Gobierno Territorial,Número de Personas Capacitadas,2024,1640,Unidad,,Dirección de Desarrollo Comunitario
